ID,dataset,Video,Reaction_Time,Response,accuracy_full,HGT
5cf510ccb0bafb00161ffd56,videoSet37,LL_LL_LL_03159.gif,13614.9,looking at mirror,0.933,turning off light
5ee35bd68326e102273173ee,videoSet37,LL_LL_LL_03159.gif,9175.5,turning off light,0.933,turning off light
60c352545305f1a05a888b79,videoSet37,LL_LL_LL_03159.gif,17668.1,lights out,0.933,turning off light
6157a8b6b04fcb8191c3daeb,videoSet37,LL_LL_LL_03159.gif,20657.5,pulling drawer,0.933,turning off light
646cbfe0fd851deb22173b4c,videoSet37,LL_LL_LL_03159.gif,26925.5,videoing something,0.933,turning off light
653bbdaa0cf432b1c544b303,videoSet37,LL_LL_LL_03159.gif,23967,turn off light,0.933,turning off light
6597e935328d41ae3aeef33b,videoSet37,LL_LL_LL_03159.gif,15750.1,turning off light,0.933,turning off light
65b8fece61bbe71242f20324,videoSet37,LL_LL_LL_03159.gif,97708.4,turn switch,0.933,turning off light
662ed97e23a6d55bb855adae,videoSet37,LL_LL_LL_03159.gif,32003.3,closing lights,0.933,turning off light
6658c8119af9537eefdfbde5,videoSet37,LL_LL_LL_03159.gif,21459.4,watching kitchen television,0.933,turning off light
66645cba7137870f5dce4263,videoSet37,LL_LL_LL_03159.gif,24453.1,showing kitchen wallpaper,0.933,turning off light
666966e191c8b2160fedc2c9,videoSet37,LL_LL_LL_03159.gif,14115.2,cleaning kitchen,0.933,turning off light
6672db2f1eda4f792dd90835,videoSet37,LL_LL_LL_03159.gif,29187.1,displaying television,0.933,turning off light
6682a96cc9c418fff4a0b070,videoSet37,LL_LL_LL_03159.gif,22061.4,showing food,0.933,turning off light
669f70ba59ec3222877c084f,videoSet37,LL_LL_LL_03159.gif,13459.3,recording kitchen,0.933,turning off light
669ff05feaf1185efc3bb657,videoSet37,LL_LL_LL_03159.gif,50586.5,looking at mirror,0.933,turning off light
66a90e7caa371f25183bdce2,videoSet37,LL_LL_LL_03159.gif,49791.2,holding kitchen surface,0.933,turning off light
66c1ff45f5950bdaded1b15e,videoSet37,LL_LL_LL_03159.gif,34283.1,recording mirror,0.933,turning off light
66c62c2a76d4919685cd6767,videoSet37,LL_LL_LL_03159.gif,9132,recording kitchen,0.933,turning off light
66cc7fbe78be09cb3ad5092f,videoSet37,LL_LL_LL_03159.gif,27937.1,looking upwards,0.933,turning off light
